,Cross Validation MSE
4.4B_Bagging(No_PCA),478.6826913657075
5.1_Quantile_regression_forest(No_PCA),484.8762514796816
4.2B_Random_forest(No_PCA),489.66265771723886
4.3B_Gradient_boosting(No_PCA),519.0927081211973
3.1B_KNN(No_PCA),759.1948246792886
4.2B_Decision_tree(No_PCA),1007.4908140227896
4.3A_Gradient_boosting,1680.3602695219015
4.2A_Random_forest,1714.1348323088466
4.1A_Decision_tree,1839.9402370682026
2.6_Poly_reg_lasso,1958.8183591213142
3.1A_KNN,1959.3905919971671
2.4_Lin_reg_lasso,3978.057859266338
2.5_Poly_reg_ridge,4632.624168219112
2.3_Lin_reg_ridge,4632.6241682192685
2.1A_Lin_reg,9838.150336638324
2.2A_Poly_reg,11294.96677397631
2.2B_Poly_reg(No PCA),6.346356292976052e+18
2.1B_Lin_reg(No_PCA),6.346356292976052e+18
